comuna,count
MACHALI,20735
ANTOFAGASTA,18653
COLLIPULLI,18055
CALAMA,15952
CONSTITUCION,12662
COPIAPO,12641
MULCHEN,11691
LUMACO,11346
VICTORIA,11066
CATEMU,10692
NACIMIENTO,10544
CAUQUENES,10331
GALVARINO,9794
LAUTARO,9397
ANGOL,8891
TRAIGUEN,8339
DIEGO DE ALMAGRO,8335
MOLINA,8189
ERCILLA,7997
COIHUECO,7592
CANETE,7324
FLORIDA,6908
LOS ANGELES,6852
TOME,5925
COLINA,5874
TIRUA,5761
EL CARMEN,5715
SANTA JUANA,5706
SAN JAVIER,5121
PUCHUNCAVI,4692
ARAUCO,4591
SANTA BARBARA,4568
FREIRE,4565
PARRAL,4355
TALCAHUANO,4350
NUEVA IMPERIAL,4308
CURICO,4296
QUILLON,4288
LONGAVI,4180
CUREPTO,4160
CARAHUE,4138
SAN CARLOS,4133
CHILLAN,4100
VILCUN,4044
PERQUENCO,3960
HUALQUI,3922
COLBUN,3857
COBQUECURA,3699
NINHUE,3585
MARIA ELENA,3574
HUALANE,3550
COELEMU,3379
LOS SAUCES,3364
CONTULMO,3085
CORONEL,2944
CUNCO,2925
YUNGAY,2905
YUMBEL,2752
CHAITEN,2727
QUILLECO,2721
PINTO,2616
PEMUCO,2565
MARCHIHUE,2552
CURACAUTIN,2516
TALTAL,2486
NIQUEN,2485
CABRERO,2459
EMPEDRADO,2442
LINARES,2370
PAREDONES,2338
ANTUCO,2233
MELIPILLA,2166
SAN CLEMENTE,2149
CHANARAL,2108
VICHUQUEN,2083
ALHUE,2059
OSORNO,2026
QUIRIHUE,2016
TUCAPEL,2013
GORBEA,1986
PANGUIPULLI,1927
SAN PEDRO,1923
CHANCO,1922
BULNES,1899
CASABLANCA,1844
PORTEZUELO,1839
CURACAVI,1769
LAMPA,1742
QUILPUE,1698
COCHRANE,1668
SAN IGNACIO,1634
LA UNION,1629
RANQUIL,1627
MARIQUINA,1616
TILTIL,1571
PUMANQUE,1568
CHEPICA,1518
PUERTO MONTT,1507
SAN PEDRO DE ATACAMA,1493
CURANILAHUE,1478
LITUECHE,1431
LOLOL,1428
LIMACHE,1358
NATALES,1351
POZO ALMONTE,1331
PADRE LAS CASAS,1319
LA HIGUERA,1301
VALPARAISO,1293
LEBU,1254
LOTA,1238
PENCAHUE,1234
ROMERAL,1232
TENO,1219
PICHIDEGUA,1194
SAN NICOLAS,1189
RENGO,1149
CONCEPCION,1121
CHIMBARONGO,1118
HUASCO,1114
OVALLE,1096
PALENA,1094
TEODORO SCHMIDT,1092
SAN FABIAN,1088
LICANTEN,1069
PICHILEMU,1052
PUREN,1042
SAN FERNANDO,1002
PENCO,998
QUILACO,994
SAGRADA FAMILIA,988
CARTAGENA,975
LAS CABRAS,971
YERBAS BUENAS,965
LAJA,961
PERALILLO,949
MAULE,943
COLCHANE,910
SANTA CRUZ,894
LA ESTRELLA,882
LA LIGUA,863
PALMILLA,861
MELIPEUCO,835
SANTO DOMINGO,829
NEGRETE,825
RENAICO,823
MARIA PINTO,820
RETIRO,814
VILLARRICA,795
PITRUFQUEN,783
BUIN,779
LOS VILOS,768
CHIGUAYANTE,759
LOS ALAMOS,754
CORRAL,752
PAINE,747
LONCOCHE,740
PAILLACO,721
PRIMAVERA,714
TEMUCO,709
PUCON,675
LONQUIMAY,673
REQUINOA,672
PURRANQUE,618
SAN ANTONIO,616
RIO BUENO,602
ISLA DE MAIPO,599
MOSTAZAL,599
LOS LAGOS,597
SAN VICENTE,596
ANCUD,591
PICA,568
PELARCO,560
CODEGUA,524
FRESIA,521
HUARA,516
QUINTERO,492
CAMARONES,486
SAN JOSE DE MAIPO,470
COLTAUCO,466
PUDAHUEL,466
SAN PABLO,458
TREGUACO,457
IQUIQUE,434
LANCO,421
RANCAGUA,419
PIRQUE,404
MALLOA,401
PUTRE,401
TALCA,400
DALCAHUE,395
COIHAIQUE,388
QUILLOTA,383
PUERTO VARAS,380
NOGALES,378
CALERA,373
RIO NEGRO,361
HIJUELAS,348
NANCAGUA,346
MONTE PATRIA,341
PELLUHUE,324
CHONCHI,318
FRUTILLAR,312
SAN RAFAEL,311
CABILDO,310
ARICA,296
PADRE HURTADO,293
LA SERENA,284
CASTRO,281
SAN ROSENDO,274
NAVIDAD,273
MAIPU,273
COINCO,272
RAUCO,263
LAGO VERDE,249
VICUNA,245
CHILE CHICO,243
RIO IBANEZ,241
SAN BERNARDO,236
SAN FELIPE,231
SALAMANCA,230
MAFIL,218
VALDIVIA,211
FUTRONO,203
LLAILAY,199
OLMUE,193
TOLTEN,192
SAN GREGORIO,191
LAGO RANCO,189
PUERTO OCTAY,189
EL MONTE,187
MAULLIN,187
CONCON,183
PANQUEHUE,182
ILLAPEL,175
QUELLON,173
CALBUCO,173
ALTO DEL CARMEN,173
QUINTA DE TILCOCO,170
PUENTE ALTO,168
COMBARBALA,167
LOS MUERMOS,163
FREIRINA,160
TOCOPILLA,156
PEUMO,153
ZAPALLAR,151
VALLENAR,151
COCHAMO,142
PUYEHUE,140
GRANEROS,139
CALERA DE TANGO,129
TALAGANTE,129
LLANQUIHUE,124
VILLA ALEGRE,124
SAAVEDRA,122
DONIHUE,122
PLACILLA,121
CISNES,120
SIERRA GORDA,118
QUILICURA,114
SAN PEDRO DE LA PAZ,113
PENAFLOR,111
LA CRUZ,108
GENERAL LAGOS,106
VINA DEL MAR,105
LA PINTANA,102
AISEN,101
COQUIMBO,100
MEJILLONES,98
CALLE LARGA,96
PAPUDO,94
PUTAENDO,92
PORVENIR,92
LOS ANDES,91
RINCONADA,91
QUEMCHI,89
CALDERA,89
SAN JUAN DE LA COSTA,87
O'HIGGINS,82
PAIGUANO,81
RIO HURTADO,77
PETORCA,72
CERRILLOS,69
TIERRA AMARILLA,67
ALGARROBO,65
CAMINA,65
SAN ESTEBAN,64
SANTA MARIA,56
OLIVAR,53
RENCA,50
LO BARNECHEA,48
CURACO DE VELEZ,46
CANELA,45
EL QUISCO,41
LA FLORIDA,41
QUEILEN,40
PENALOLEN,38
HUALAIHUE,34
FUTALEUFU,32
LO ESPEJO,26
RIO CLARO,23
CURARREHUE,23
HUECHURABA,20
ESTACION CENTRAL,19
EL TABO,17
PUNITAQUI,16
CERRO NAVIA,15
QUINTA NORMAL,14
QUINCHAO,14
RECOLETA,12
EL BOSQUE,11
ANDACOLLO,11
LA GRANJA,10
VITACURA,10
TORTEL,10
NUNOA,8
MACUL,8
TIMAUKEL,8
SAN RAMON,8
SANTIAGO,8
LAS CONDES,8
INDEPENDENCIA,7
OLLAGUE,6
CONCHALI,5
SAN JOAQUIN,5
PEDRO AGUIRRE CERDA,5
SAN MIGUEL,5
LAGUNA BLANCA,2
CHILLAN VIEJO,2
PROVIDENCIA,1
LA REINA,1
PUQUELDON,1
LO PRADO,1
